Title,Location,Link,ImportTime
Customer Service Officer (Premier Centre) - Hong Kong Business,Lai Chi Kok  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774607727106,2026-04-17T08:21:05.941Z
Associate,Central  Hong Kong Island  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774610635404,2026-04-17T08:21:05.941Z
Wealth Planner Wealth Planning and Advisory,Central  Hong Kong Island  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774610629826,2026-04-17T08:21:05.941Z
Associate Corporate Banking - Hang Seng Bank (HK),Central  Hong Kong Island  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774610557565,2026-04-17T08:21:05.941Z
Senior Business Development Executive,Kowloon City  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774610492205,2026-04-17T08:21:05.941Z
Business Architect,Central  Hong Kong Island  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774610383362,2026-04-17T08:21:05.941Z
Senior Data Modeler,Kowloon City  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774610382940,2026-04-17T08:21:05.941Z
Senior Product Designer - International Wealth and Premier Banking,Kowloon City  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774610363039,2026-04-17T08:21:05.941Z
Senior Legal Counsel ECM and M&A Corporate and Institutional Banking Legal,Central  Hong Kong Island  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774610362546,2026-04-17T08:21:05.941Z
CLIENT LIFECYCLE MANAGEMENT ANALYST,Kowloon City  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774610356481,2026-04-17T08:21:05.941Z
Client Service Executive China Team - Private Banking,Central  Hong Kong Island  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774610350299,2026-04-17T08:21:05.941Z
Premier Relationship Officer HSBC Expat,Central  Hong Kong Island  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774610318797,2026-04-17T08:21:05.941Z
Associate Corporate Banking - Mainland Corporates,Central  Hong Kong Island  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774610317934,2026-04-17T08:21:05.941Z
Associate Real Assets & Services (RA&S) - Corporate & Institutional Banking,Central  Hong Kong Island  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774610294342,2026-04-17T08:21:05.941Z
Associate Macro Sales - Corporate & Institutional Banking,Central  Hong Kong Island  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774610274299,2026-04-17T08:21:05.941Z
Senior Product Designer - International Wealth and Premier Banking,Kowloon City  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774610245623,2026-04-17T08:21:05.941Z
Smart Senior (CSO),Kowloon City  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774610245456,2026-04-17T08:21:05.941Z
Global Markets Operations Associate (FX & Money Markets),Central  Hong Kong Island  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774610187625,2026-04-17T08:21:05.941Z
Security Officer Control Room - Hang Seng Bank (HK),Mongkok  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774610162250,2026-04-17T08:21:05.941Z
Client Service Executive South East Asia Market - Private Banking,Central  Hong Kong Island  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774609946506,2026-04-17T08:21:05.941Z
Student Internship Programme 2H2026 - Hang Seng Indexes Company Limited - Hang Seng Bank (HK),Mongkok  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774609765054,2026-04-17T08:21:05.941Z
Student Internship Programme 2H2026 - Commercial Banking - Hang Seng Bank (HK),Central  Hong Kong Island  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774609759808,2026-04-17T08:21:05.941Z
Wealth Planner,Central  Hong Kong Island  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774609753587,2026-04-17T08:21:05.941Z
Student Internship Programme 2H2026 - Audit - Hang Seng Bank (HK),Mongkok  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774609636195,2026-04-17T08:21:05.941Z
One Insurance Specialist,Kowloon City  Kowloon  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774609620236,2026-04-17T08:21:05.941Z
Student Internship Programme 2H2026 - Retail Banking and Wealth - Hang Seng Bank (HK),Central  Hong Kong Island  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774609619763,2026-04-17T08:21:05.941Z
Student Internship Programme 2H2026 - Global Markets - Hang Seng Bank (HK),Central  Hong Kong Island  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774609619755,2026-04-17T08:21:05.941Z
Student Internship Programme 2H2026 - Finance - Hang Seng Bank (HK),Central  Hong Kong Island  Hong Kong,https://portal.careers.hsbc.com/careers/job/563774609619762,2026-04-17T08:21:05.941Z
